epoch,lr,loss,cls_loss,box_loss,AP,AP50,APS,APM
1,4.998791e-04,6.2574,1.2420,0.9978,,,,
2,4.995165e-04,5.0303,0.5856,0.9317,,,,
3,4.989127e-04,4.9363,0.6055,0.9160,,,,
4,4.980681e-04,4.8681,0.6189,0.9068,,,,
5,4.969836e-04,4.7970,0.6213,0.8968,9.48,19.31,3.89,13.92
6,4.956604e-04,4.7401,0.6250,0.8904,,,,
7,4.940996e-04,4.7190,0.6266,0.8888,,,,
8,4.923029e-04,4.6767,0.6281,0.8831,,,,
9,4.902720e-04,4.6462,0.6287,0.8807,,,,
10,4.880088e-04,4.6092,0.6282,0.8766,17.55,33.26,6.61,26.29
11,4.855158e-04,4.5725,0.6272,0.8714,,,,
12,4.827952e-04,4.5520,0.6241,0.8707,,,,
13,4.798499e-04,4.5161,0.6220,0.8651,,,,
14,4.766826e-04,4.4938,0.6201,0.8644,,,,
15,4.732966e-04,4.4708,0.6176,0.8622,22.17,41.71,9.75,33.23
16,4.696951e-04,4.4427,0.6151,0.8586,,,,
17,4.658818e-04,4.4232,0.6123,0.8571,,,,
18,4.618603e-04,4.3970,0.6092,0.8541,,,,
19,4.576347e-04,4.3788,0.6070,0.8523,,,,
20,4.532092e-04,4.3525,0.6026,0.8496,25.66,46.38,11.58,39.20
21,4.485880e-04,4.3356,0.6010,0.8486,,,,
22,4.437757e-04,4.3082,0.5983,0.8441,,,,
23,4.387772e-04,4.2984,0.5953,0.8444,,,,
24,4.335973e-04,4.2730,0.5920,0.8405,,,,
25,4.282412e-04,4.2599,0.5893,0.8401,29.66,52.42,14.95,45.21
26,4.227140e-04,4.2314,0.5869,0.8354,,,,
27,4.170214e-04,4.2221,0.5850,0.8350,,,,
28,4.111689e-04,4.2071,0.5820,0.8341,,,,
29,4.051622e-04,4.1801,0.5790,0.8299,,,,
30,3.990074e-04,4.1744,0.5774,0.8300,31.64,55.29,16.60,48.08
31,3.927104e-04,4.1599,0.5757,0.8278,,,,
32,3.862776e-04,4.1325,0.5706,0.8242,,,,
33,3.797151e-04,4.1261,0.5689,0.8244,,,,
34,3.730297e-04,4.1146,0.5667,0.8229,,,,
35,3.662277e-04,4.0952,0.5633,0.8206,33.62,57.03,17.64,51.12
36,3.593159e-04,4.0820,0.5605,0.8192,,,,
37,3.523012e-04,4.0741,0.5591,0.8187,,,,
38,3.451905e-04,4.0400,0.5504,0.8156,,,,
39,3.379908e-04,4.0159,0.5476,0.8114,,,,
40,3.307092e-04,4.0125,0.5466,0.8113,35.73,59.73,19.99,53.66
41,3.233528e-04,4.0205,0.5506,0.8111,,,,
42,3.159290e-04,3.9923,0.5418,0.8092,,,,
43,3.084451e-04,3.9752,0.5385,0.8070,,,,
44,3.009084e-04,3.9878,0.5413,0.8084,,,,
45,2.933264e-04,3.9759,0.5381,0.8072,37.37,61.19,21.10,55.74
46,2.857066e-04,3.9665,0.5363,0.8063,,,,
47,2.780565e-04,3.9514,0.5329,0.8045,,,,
48,2.703837e-04,3.9344,0.5306,0.8017,,,,
49,2.626956e-04,3.9222,0.5266,0.8008,,,,
50,2.550000e-04,3.9196,0.5239,0.8017,39.03,62.73,22.55,57.98
51,2.473044e-04,3.9092,0.5215,0.8004,,,,
52,2.396163e-04,3.8968,0.5184,0.7990,,,,
53,2.319435e-04,3.8806,0.5151,0.7965,,,,
54,2.242934e-04,3.8723,0.5120,0.7964,,,,
55,2.166736e-04,3.8601,0.5091,0.7945,40.13,63.73,23.31,59.63
56,2.090916e-04,3.8534,0.5071,0.7942,,,,
57,2.015549e-04,3.8443,0.5032,0.7938,,,,
58,1.940710e-04,3.8327,0.5007,0.7922,,,,
59,1.866472e-04,3.8249,0.4980,0.7916,,,,
60,1.792908e-04,3.8138,0.4950,0.7901,42.00,65.14,25.21,62.30
61,1.720092e-04,3.8066,0.4927,0.7895,,,,
62,1.648095e-04,3.7905,0.4887,0.7875,,,,
63,1.576988e-04,3.7867,0.4873,0.7873,,,,
64,1.506841e-04,3.7735,0.4835,0.7858,,,,
65,1.437723e-04,3.7630,0.4777,0.7857,43.20,65.94,26.56,63.23
66,1.369703e-04,3.7705,0.4791,0.7868,,,,
67,1.302849e-04,3.7580,0.4778,0.7841,,,,
68,1.237224e-04,3.7432,0.4725,0.7830,,,,
69,1.172896e-04,3.7330,0.4683,0.7824,,,,
70,1.109926e-04,3.7242,0.4656,0.7815,44.23,66.35,27.01,64.87
71,1.048378e-04,3.7260,0.4662,0.7815,,,,
72,9.883112e-05,3.7220,0.4638,0.7816,,,,
73,9.297859e-05,3.7063,0.4597,0.7794,,,,
74,8.728596e-05,3.7001,0.4567,0.7793,,,,
75,8.175884e-05,3.6962,0.4556,0.7788,45.29,67.05,27.82,66.53
76,7.640269e-05,3.6958,0.4549,0.7789,,,,
77,7.122279e-05,3.6825,0.4524,0.7766,,,,
78,6.622426e-05,3.6780,0.4487,0.7771,,,,
79,6.141202e-05,3.6671,0.4464,0.7755,,,,
80,5.679084e-05,3.6664,0.4448,0.7758,46.10,67.66,28.59,67.54
81,5.236526e-05,3.6663,0.4448,0.7757,,,,
82,4.813966e-05,3.6639,0.4429,0.7758,,,,
83,4.411820e-05,3.6498,0.4393,0.7740,,,,
84,4.030486e-05,3.6453,0.4368,0.7738,,,,
85,3.670340e-05,3.6393,0.4355,0.7729,46.77,67.78,29.42,68.35
86,3.331737e-05,3.6482,0.4372,0.7744,,,,
87,3.015012e-05,3.6444,0.4364,0.7738,,,,
88,2.720476e-05,3.6325,0.4320,0.7727,,,,
89,2.448421e-05,3.6248,0.4299,0.7716,,,,
90,2.199115e-05,3.6233,0.4294,0.7715,47.18,68.00,29.67,68.92
91,1.972805e-05,3.6266,0.4312,0.7715,,,,
92,1.769713e-05,3.6241,0.4307,0.7711,,,,
93,1.590039e-05,3.6241,0.4296,0.7714,,,,
94,1.433962e-05,3.6163,0.4287,0.7700,,,,
95,1.301636e-05,3.6217,0.4285,0.7713,47.57,68.24,30.18,69.38
96,1.193190e-05,3.6203,0.4279,0.7712,,,,
97,1.108732e-05,3.6162,0.4269,0.7705,,,,
98,1.048345e-05,3.6180,0.4273,0.7708,,,,
99,1.012089e-05,3.6183,0.4267,0.7712,,,,
100,1.000000e-05,3.6137,0.4265,0.7701,47.80,68.43,30.23,69.72
