class_name,AP50,AP50_95,precision,recall,F1
pedestrian,0.1532883253647479,0.07849266778213713,null,null,null
people,0.042443822844804115,0.019463106144534174,null,null,null
bicycle,0.009900990099009901,0.009900990099009901,null,null,null
car,0.027974987754576325,0.020962092100608683,null,null,null
van,0.06542227112736848,0.045627387154723954,null,null,null
truck,0.2649191122611637,0.16724569326653616,null,null,null
tricycle,0.017326732673267328,0.012266373696193149,null,null,null
awning-tricycle,0.03705370537053705,0.023819572592710777,null,null,null
bus,0.0,0.0,null,null,null
motor,0.03400497944531295,0.017796601099802193,null,null,null
